GRID_ID,2020,2025,2030,2035,2040,2045,2050
2004,0.35,0.35,0.35,0.35,0.35,0.35,0.35
2005,0.776,0.843,0.916,1.036,1.124,1.302,1.479
2006,0.35,0.744,0.807,0.92,1.006,0.806,0.935
2115,0.96,1.043,1.133,1.295,1.421,1.681,1.947
2495,0.35,0.35,0.35,0.35,0.35,0.35,0.35
2515,0.35,0.35,0.35,0.35,0.35,0.35,0.35
2520,0.35,0.35,o,o,o,o,o
3020,0.47,0.47,0.47,0.47,0.47,0.47,0.47
3022,0.47,0.47,0.47,0.47,0.47,0.47,0.47
3023,0.48,0.48,0.48,0.48,0.48,0.48,0.48
3024,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3027,0.54,0.54,0.54,0.54,0.54,0.54,0.54
3172,0.45,0.45,0.45,0.45,0.45,0.45,0.45
3173,0.24,0.24,0.24,0.24,0.24,0.24,0.24
3190,0.2,0.2,o,o,o,o,o
3208,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3253,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4010,0.23,0.23,o,o,o,o,o
4031,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4063,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4082,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4083,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4089,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4092,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4098,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4106,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4107,0.35,0.35,0.35,0.35,0.35,0.35,0.35
4108,0.35,0.35,0.35,0.35,0.35,0.35,0.35
4109,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4122,0.25,0.25,0.25,0.25,0.25,0.25,0.25
4128,0.68,0.68,0.48,0.48,0.48,0.48,0.48
4134,0.2,0.2,o,o,o,o,o
4135,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4136,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4142,0.53,0.53,0.53,0.53,0.53,0.53,0.53
4143,0.51,0.51,0.3,0.3,0.3,0.3,0.3
4144,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4148,0.22,0.22,0.22,0.22,0.22,0.22,0.22
4150,0.25,0.25,0.25,0.25,0.25,0.25,0.25
4160,0.53,0.53,0.53,0.53,0.53,0.53,0.53
4161,1.09,1.09,0.69,0.69,0.69,0.69,0.69
4163,0.53,0.53,0.53,0.53,0.53,0.53,0.53
4168,0.3,0.3,0.3,0.3,0.3,0.3,0.3
